City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
28,beringovskiy,63.05,179.3167,251.96,95,100,6.2,RU,1676772081
29,ushuaia,-54.8,-68.3,282.96,76,75,2.06,AR,1676772088
30,kruisfontein,-34.0033,24.7314,290.31,81,21,1.25,ZA,1676772091
31,bluff,-46.6,168.3333,288.6,82,94,6.84,NZ,1676772092
32,busselton,-33.65,115.3333,298.37,45,18,4.64,AU,1676772093
33,arequipa,-16.3989,-71.535,287.19,94,75,1.54,PE,1676771812
34,kapaa,22.0752,-159.319,299.33,82,95,0.89,US,1676772097
35,wanning,18.8003,110.3967,295.79,79,77,4.86,CN,1676772098
36,kodiak,57.79,-152.4072,275.74,85,53,3.21,US,1676772100
37,ulladulla,-35.35,150.4667,297.58,56,4,3.14,AU,1676772100
38,cape town,-33.9258,18.4232,293.36,77,0,4.12,ZA,1676772101
39,inuvik,68.3499,-133.7218,248.63,77,75,2.57,CA,1676772047
40,hermanus,-34.4187,19.2345,290.82,82,80,3.25,ZA,1676772102
41,constitucion,-35.3333,-72.4167,286.73,85,0,1.9,CL,1676772102
42,peniche,39.3558,-9.3811,287.29,78,2,3.76,PT,1676772103
43,saskylakh,71.9167,114.0833,252.4,98,100,4.06,RU,1676772103
44,salacgriva,57.7536,24.3581,273.95,77,100,10.89,LV,1676772104
45,hilo,19.7297,-155.09,294.32,97,100,2.06,US,1676771863
46,albany,42.6001,-73.9662,273.93,56,39,0.45,US,1676772001
47,dawson creek,55.7666,-120.2362,262.95,73,0,1.03,CA,1676772048
48,san cristobal,7.7669,-72.225,293.25,85,37,0.95,VE,1676771922
49,carnarvon,-24.8667,113.6333,300.6,65,0,7.19,AU,1676772105
50,taitung,22.7583,121.1444,297.3,57,75,3.09,TW,1676772105
51,katsuura,35.1333,140.3,290.8,77,85,17.23,JP,1676772106
52,yumen,40.2833,97.2,268.31,34,77,4.08,CN,1676772106
53,new norfolk,-42.7826,147.0587,300.88,30,100,3.13,AU,1676772107
54,gat,31.61,34.7642,286.15,75,1,2.79,IL,1676772061
55,padang,-0.9492,100.3543,299.18,74,82,1.06,ID,1676772035
56,nur,52.6683,22.3221,275.82,66,62,7.18,PL,1676772108
57,vostok,46.4856,135.8833,261.76,78,100,1.48,RU,1676772108
58,hithadhoo,-0.6,73.0833,300.32,74,100,2.43,MV,1676772108
59,ponta do sol,32.6667,-17.1,290.77,61,18,2.49,PT,1676772109
60,port hardy,50.6996,-127.4199,280.25,76,75,3.09,CA,1676772048
61,luderitz,-26.6481,15.1594,288.98,92,0,4.13,NA,1676772109
62,ancud,-41.8697,-73.8203,286.52,88,78,0.59,CL,1676772110
63,kununurra,-15.7667,128.7333,304.14,70,40,2.57,AU,1676772005
64,matara,5.9485,80.5353,297.23,87,62,3.18,LK,1676772110
65,bathsheba,13.2167,-59.5167,298.49,78,40,7.72,BB,1676772111
66,salalah,17.0151,54.0924,295.37,40,53,9.2,OM,1676772112
67,pevek,69.7008,170.3133,239.11,91,100,0.81,RU,1676772112
68,surt,31.2089,16.5887,286.25,70,0,0.82,LY,1676772113
69,kahului,20.8947,-156.47,299.17,73,40,3.09,US,1676772034
70,cabo san lucas,22.8909,-109.9124,294.76,80,69,2.85,MX,1676771972
71,port lincoln,-34.7333,135.8667,297.76,50,0,2.15,AU,1676772114
72,cidreira,-30.1811,-50.2056,291.36,55,38,3.37,BR,1676772114
73,san quintin,30.4833,-115.95,287.26,57,0,1.75,MX,1676772032
74,rawicz,51.6095,16.8585,278.79,99,100,2.95,PL,1676772116
75,bredasdorp,-34.5322,20.0403,290.9,81,75,1.29,ZA,1676772117
76,grindavik,63.8424,-22.4338,275.41,93,75,2.06,IS,1676772117
77,alofi,-19.0595,-169.9187,304.09,66,70,4.12,NU,1676772118
78,ostersund,63.1792,14.6357,270.71,80,20,11.32,SE,1676772118
79,amurzet,47.6967,131.0981,261.96,80,100,2.09,RU,1676772119
80,mahebourg,-20.4081,57.7,297.73,94,75,1.03,MU,1676772121
81,upernavik,72.7868,-56.1549,250.88,82,64,4.44,GL,1676772123
82,nelson bay,-32.7167,152.15,301.53,75,79,2.68,AU,1676772124
83,cherskiy,68.75,161.3,239.62,91,100,1.74,RU,1676772124
84,qaanaaq,77.484,-69.3632,251.97,58,99,3.62,GL,1676772126
85,diamantina,-18.2494,-43.6003,289.55,93,55,1.81,BR,1676772127
86,vityazevo,44.9931,37.2719,281.38,93,75,5.0,RU,1676772129
87,naze,28.3667,129.4833,294.66,61,81,4.14,JP,1676772131
88,chokurdakh,70.6333,147.9167,230.05,99,88,0.22,RU,1676772133
89,ust-nera,64.5667,143.2,241.36,91,83,1.22,RU,1676772136
90,aguimes,27.9054,-15.4461,288.5,74,75,5.14,ES,1676772137
91,kavaratti,10.5669,72.642,299.48,70,8,0.44,IN,1676772138
92,airai,-8.9266,125.4092,295.31,65,100,0.95,TL,1676772139
93,mackay,-21.15,149.2,304.08,60,55,6.87,AU,1676772140
94,dikson,73.5069,80.5464,256.94,98,100,8.4,RU,1676772141
95,port elizabeth,-33.918,25.5701,292.31,88,100,2.06,ZA,1676772142
96,saldanha,-33.0117,17.9442,290.42,89,0,4.51,ZA,1676772143
97,meitingen,48.55,10.85,284.05,71,100,5.66,DE,1676772144
98,barrow,71.2906,-156.7887,250.16,77,100,2.06,US,1676772145
99,rudbar,30.15,62.6,286.42,58,11,2.02,AF,1676772146
100,pangnirtung,66.1451,-65.7125,234.47,98,98,1.21,CA,1676772147
101,solnechnyy,50.7214,136.6319,260.4,86,98,1.65,RU,1676772148
102,anchorage,61.2181,-149.9003,273.52,91,100,3.09,US,1676772029
103,olafsvik,64.8945,-23.7142,274.8,90,100,6.2,IS,1676772148
104,guerrero negro,27.9769,-114.0611,288.92,67,100,5.17,MX,1676772150
105,tiksi,71.6872,128.8694,242.06,100,43,3.03,RU,1676772152
106,lorengau,-2.0226,147.2712,301.15,76,59,1.25,PG,1676772154
107,falmouth,50.1544,-5.0711,282.65,93,100,3.6,GB,1676771759
108,mandan,46.8267,-100.8896,276.14,78,40,4.63,US,1676771878
109,nanortalik,60.1432,-45.2371,269.37,92,100,7.17,GL,1676772155
110,tadine,-21.55,167.8833,300.13,60,14,6.21,NC,1676772156
111,broken hill,-31.95,141.4333,302.84,18,0,4.05,AU,1676772157
112,lebu,-37.6167,-73.65,287.14,91,71,6.93,CL,1676771974
113,coquimbo,-29.9533,-71.3436,293.0,72,0,3.6,CL,1676772157
114,grao mogol,-16.5594,-42.8897,292.69,84,63,1.46,BR,1676772158
115,okhotsk,59.3833,143.3,252.15,70,4,4.83,RU,1676772159
116,khatanga,71.9667,102.5,262.2,93,100,7.19,RU,1676772159
117,antofagasta,-23.65,-70.4,295.75,86,43,2.19,CL,1676771898
118,pisco,-13.7,-76.2167,297.18,83,0,8.23,PE,1676772160
119,karpathos,35.507,27.2132,285.13,76,2,0.51,GR,1676772160
120,saint-philippe,-21.3585,55.7679,297.92,81,86,3.79,RE,1676772161
121,mezen,65.8522,44.24,263.06,95,100,4.56,RU,1676772162
122,arraial do cabo,-22.9661,-42.0278,297.68,91,100,7.5,BR,1676772162
123,provideniya,64.3833,-173.3,255.21,60,20,8.0,RU,1676772163
124,baracoa,20.3467,-74.4958,297.35,74,1,6.67,CU,1676772163
125,mount gambier,-37.8333,140.7667,298.74,35,0,3.52,AU,1676772164
